ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
16,Song,Lake Juan,Matter,1500,8,2023-07-08T00:00:00Z,Adam Mueller,rbrown@example.org,2661673098,"22214 Janet Plaza Suite 903 West Christopherside, DC 40075",tarjeta,En camino,Producto defectuoso,88
16,Operation,Trujillofort,Grow,1100,11,2023-06-07T00:00:00Z,Carla Orozco,dhuber@example.com,621875126511205,"507 Johnson Port Banksshire, AK 72140",tarjeta,En camino,Sin comentario,38
7,Song,Trujillofort,Popular,900,24,2023-07-15T00:00:00Z,Jessica Davis,rbrown@example.org,1753175834,"4412 Lee Dam Apt. 872 Hunterbury, HI 03589",tarjeta,En camino,Sin comentario,19
21,Under,North Brittney,Finish,2100,22,2023-09-13T00:00:00Z,Lisa?stafford,lweaver@example.org,848-723-3346,"30768 Louis Mill Lake Carmen, LA 47934",efectivo,Entregado,Sin comentario,42
19,Song,Valerietown,Leg,2400,17,2023-10-15T00:00:00Z,Susan Harvey,powersjimmy@example.org,6304696433,"7474 Sean Pine Frazierchester, OK 57469",efectivo,En camino,Sin comentario,54
20,Factor,East Jonathan,Say,1300,27,2023-08-17T00:00:00Z,Jessica Davis,briangonzales@example.net,1753175834,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,En camino,Producto defectuoso,53
3,Base,Andrewside,Group,2100,12,2023-01-04T00:00:00Z,Lisa*stafford,krystalmcdaniel@example.org,475336070987999,"29340 Murphy Parkway North Robert, KS 42070",efectivo,Entregado,Producto defectuoso,53
16,Strategy,East Janicemouth,Letter,1100,22,2023-09-13T00:00:00Z,Crystal Chambers,lweaver@example.org,6022388997526,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,En camino,Producto defectuoso,28
26,Firm,Susanton,Finish,700,18,2023-09-12T00:00:00Z,Karl Cardenas,hornebeth@example.com,(101)988-9703x8562,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",tarjeta,En camino,Producto defectuoso,30
1,Administration,Brendanberg,Step,300,21,2023-05-06T00:00:00Z,Daniel Garcia,paul02@example.com,5098210932647,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",efectivo,Entregado,Sin comentario,78
15,Professor,Valerietown,Rich,300,10,2023-01-14T00:00:00Z,Samantha Parker.,brianboyd@example.org,8572628794,USS Fuller FPO AA 30334,tarjeta,En camino,Sin comentario,14
1,Operation,South Thomas,Pay,1600,21,2023-06-28T00:00:00Z,Lisa Stafford,walkerraven@example.net,2661673098,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,Entregado,Producto defectuoso,87
22,Up,North Thomastown,Popular,900,29,2023-08-27T00:00:00Z,.Angela Taylor,rdaugherty@example.net,6022388997526,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,En camino,Producto defectuoso,14
22,Just,Vasquezborough,North,2100,14,2023-07-15T00:00:00Z,Cynthia Hayes,matthew29@example.com,0010962368217,"PSC 2182, Box 8243 APO AP 79039",tarjeta,Entregado,Producto defectuoso,4
21,Up,East Leah,Still,300,16,2023-09-13T00:00:00Z,Sharon Lowe,lweaver@example.org,6864990991,"91315 Simpson Fork Apt. 336 South Mark, GA 64860",tarjeta,Entregado,Sin comentario,39
11,Operation,Lake Juan,Industry,1500,2,2023-08-17T00:00:00Z,Jennifer Holmes,cwilliams@example.com,369.774.6572x373,"29340 Murphy Parkway North Robert, KS 42070",efectivo,Entregado,Sin comentario,88
23,Song,East Jonathan,Popular,1500,27,2023-07-25T00:00:00Z,Lisa Stafford,david09@example.com,339100428204920,"50604 Anthony Villages New William, ME 95446",efectivo,Entregado,Producto defectuoso,24
22,Focus,Larrychester,At,700,7,2023-03-13T00:00:00Z,Dr. Monica Woods,hornebeth@example.com,001594337542187814,"025 Billy RowLisaside, AR 96338",tarjeta,Entregado,Producto defectuoso,30
21,Owner,Valerietown,Finish,2000,15,2023-03-22T00:00:00Z,Andrew Mitchell,lharmon@example.net,001-890-231-3672x1535,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,Entregado,Producto defectuoso,53
12,Just,South Timothyberg,Spring,3000,18,2023-02-09T00:00:00Z,Jessica Davis,david09@example.com,525-194-7529,"025 Billy RowLisaside, AR 96338",efectivo,En camino,Producto defectuoso,43
28,Dog,Lindaport,Spring,1500,9,2023-09-23T00:00:00Z,daniel Garcia,parkerandrew@example.org,339100428204920,"22214 Janet Plaza Suite 903 West Christopherside, DC 40075",tarjeta,Entregado,Sin comentario,88
23,Home,East Josephland,Step,700,7,2023-06-28T00:00:00Z,Samantha Hodges,eric24@example.com,5098210932647,"22214 Janet Plaza Suite 903 West Christopherside, DC 40075",efectivo,En camino,Sin comentario,25
27,Staff,Port Alexachester,Exist,1500,11,2023-09-13T00:00:00Z,Cynthia Hayes,sandersbeth@example.org,8708608083698,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",efectivo,Entregado,Producto defectuoso,83
23,Door,Susanton,Step,600,16,2023-03-22T00:00:00Z,Cynthia Hayes,powersjimmy@example.org,001-557-543-1910,"4412 Lee Dam Apt. 872 Hunterbury, HI 03589",efectivo,Entregado,Sin comentario,83
16,Song,East Josephland,Grow,1100,25,2023-09-23T00:00:00Z,Jennifer Holmes,harperdanielle@example.net,6022388997526,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",efectivo,En camino,Producto defectuoso,78
29,Involve,Courtneymouth,North,700,8,2023-08-17T00:00:00Z,Roger Stephens,lweaver@example.org,5098210932647,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",efectivo,Entregado,Producto defectuoso,42
5,Staff,New Reginaldmouth,Grow,1300,21,2023-06-21T00:00:00Z,Lisa Stafford,karaware@example.net,0010962368217,"03346 Tony Spring Apt. 633 Ericberg, AK 73272",efectivo,Entregado,Producto defectuoso,19
20,Just,Larrychester,Rich,200,10,2023-07-08T00:00:00Z,Jennifer?holmes,eric87@example.org,(101)988-9703x8562,"91315 Simpson Fork Apt. 336 South Mark, GA 64860",efectivo,En camino,Sin comentario,25
6,Operation,Larrychester,Finish,2500,23,2023-08-17T00:00:00Z,Angela Taylor,powersjimmy@example.org,557.193.8141,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,Entregado,Producto defectuoso,25
8,Choice,Port Kelly,Popular,700,28,2023-11-20T00:00:00Z,Carla Orozco,wliu@example.net,8572628794,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",tarjeta,Entregado,Producto defectuoso,83
9,Democratic,Valerietown,Much,900,11,2023-09-13T00:00:00Z,Susan Harvey,parkerandrew@example.org,110559261937727,"91315 Simpson Fork Apt. 336 South Mark, GA 64860",tarjeta,En camino,Producto defectuoso,30
5,Choice,Nguyenshire,Leg,900,11,2023-07-10T00:00:00Z,Lisa Stafford,wwilson@example.org,372.568.4886x317,"93043 Kiara Crossroad Port Amandachester, WI 16919",tarjeta,Entregado,Sin comentario,30
2,Trade,New Reginaldmouth,Individual,200,23,2023-11-20T00:00:00Z,Jessica Davis,estesjon@example.org,372.568.4886x317,"769 Dickerson Drive Jasminemouth, HI 08895",efectivo,Entregado,Producto defectuoso,72
26,Operation,New Reginaldmouth,Matter,2300,27,2023-06-28T00:00:00Z,Susan Harvey,wwilson@example.org,6304696433,"769 Dickerson Drive Jasminemouth, HI 08895",efectivo,Entregado,Sin comentario,43
10,Trade,Kevinton,Popular,300,30,2023-06-28T00:00:00Z,David Norton,estesjon@example.org,001-557-543-1910,"29340 Murphy Parkway North Robert, KS 42070",efectivo,Entregado,Sin comentario,42
2,Education,North Thomastown,Movement,1100,16,2023-08-13T00:00:00Z,Brittney Guerra,wliu@example.net,557.193.8141,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",tarjeta,En camino,Producto defectuoso,36
27,Door,Lake Juan,Despite,3000,13,2023-07-15T00:00:00Z,Daniel Garcia,harperdanielle@example.net,110559261937727,"11613 Miller Ridges Suite 186 East Nicholas, MN 69937",tarjeta,Entregado,Sin comentario,28
29,Just,Nguyenshire,Rich,900,8,2023-08-13T00:00:00Z,Michelle Mitchell,matthew29@example.com,0010962368217,"769 Dickerson Drive Jasminemouth, HI 08895",efectivo,Entregado,Sin comentario,18
17,Kitchen,Briannaport,Job,1500,17,2023-05-05T00:00:00Z,Carla Orozco,steelejulian@example.net,4914742586,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,En camino,Producto defectuoso,39
8,Staff,North Thomastown,Group,2500,26,2023-01-14T00:00:00Z,Sean Mitchell,karaware@example.net,(101)988-9703x8562,"025 Billy RowLisaside, AR 96338",efectivo,Entregado,Producto defectuoso,19
27,Choice,Milesburgh,At,700,8,2023-05-06T00:00:00Z,David Norton,briangonzales@example.net,372.568.4886x317,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",tarjeta,Entregado,Producto defectuoso,24
20,Wait,Valerietown,Individual,1300,27,2023-01-14T00:00:00Z,Robert Bryant,dhuber@example.com,475336070987999,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",efectivo,En camino,Producto defectuoso,27
7,Worry,Larrychester,Individual,700,16,2023-06-07T00:00:00Z,Benjamin Chan,lharmon@example.net,(101)988-9703x8562,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",efectivo,En camino,Sin comentario,18
20,Professor,Andrewside,Group,1500,16,2023-09-13T00:00:00Z,Susan Harvey,powersjimmy@example.org,525-194-7529,"67032 Megan Cliffs Suite 876 Loveside, SD 53246",tarjeta,Entregado,Producto defectuoso,4
9,Education,Susanton,Industry,200,10,2023-01-04T00:00:00Z,Dr. Monica Woods,rbrown@example.org,3143257035737,"93043 Kiara Crossroad Port Amandachester, WI 16919",efectivo,En camino,Sin comentario,88
13,Firm,Courtneymouth,Movement,1100,21,2023-08-13T00:00:00Z,Juan Manning,eric24@example.com,(101)988-9703x8562,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",efectivo,Entregado,Producto defectuoso,74
14,Professor,East Brittany,Budget,300,8,2023-07-08T00:00:00Z,Michelle?mitchell,krystalmcdaniel@example.org,001-890-231-3672x1535,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",tarjeta,Entregado,Sin comentario,36
7,Under,Valerietown,Member,700,18,2023-09-13T00:00:00Z,Karl Cardenas,karaware@example.net,1753175834,"2644 Gonzalez Mills Apt. 856 Port Frank, IN 25816",efectivo,Entregado,Sin comentario,4
25,Factor,New Reginaldmouth,Leader,2300,23,2023-05-05T00:00:00Z,Jennifer Holmes,wwilson@example.org,2661673098,"769 Dickerson Drive Jasminemouth, HI 08895",tarjeta,En camino,Sin comentario,4
6,Song,Milesburgh,Member,900,13,2023-04-14T00:00:00Z,Jennifer Holmes,schmidtkrystal@example.org,369.774.6572x373,"664 Berger RapidSouth Suzanne, WV 68526",efectivo,En camino,Producto defectuoso,78
5,Professor,East Leah,At,200,27,2023-07-08T00:00:00Z,.Alan Bird,lweaver@example.org,369.774.6572x373,"507 Johnson Port Banksshire, AK 72140",tarjeta,En camino,Sin comentario,28
29,Under,Trujillofort,Popular,900,16,2023-07-15T00:00:00Z,Carla Orozco,rdaugherty@example.net,0010962368217,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",tarjeta,En camino,Producto defectuoso,21
3,Home,Lake Juan,Industry,600,15,2023-10-15T00:00:00Z,sharon Lowe,edward94@example.org,6864990991,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",tarjeta,En camino,Sin comentario,21
21,Dog,Brendanberg,Increase,300,12,2023-09-13T00:00:00Z,Jessica Davis,briangonzales@example.net,5098210932647,"22214 Janet Plaza Suite 903 West Christopherside, DC 40075",tarjeta,Entregado,Producto defectuoso,18
11,Home,Kevinton,Whom,2400,15,2023-07-15T00:00:00Z,Mark Mays,eric87@example.org,3143257035737,"493 Cameron Ramp Veronicatown, MI 81010",tarjeta,Entregado,Producto defectuoso,74
4,If,Kevinton,Grow,1100,10,2023-01-14T00:00:00Z,Angela Taylor,wwilson@example.org,110559261937727,"769 Dickerson Drive Jasminemouth, HI 08895",tarjeta,En camino,Producto defectuoso,14
23,Six,Trujillofort,Leg,700,11,2023-03-22T00:00:00Z,Benjamin Chan,dhuber@example.com,6128211834900,"22214 Janet Plaza Suite 903 West Christopherside, DC 40075",tarjeta,Entregado,Producto defectuoso,19
2,Focus,Brendanberg,Grow,700,26,2023-07-15T00:00:00Z,Roger Stephens,ydavid@example.com,525-194-7529,"9978 Kenneth Plaza Suite 069 Monicafurt, NM 39529",tarjeta,Entregado,Sin comentario,43
7,Education,Courtneymouth,Budget,2500,23,2023-03-14T00:00:00Z,David Norton,lharmon@example.net,5098210932647,"91315 Simpson Fork Apt. 336 South Mark, GA 64860",tarjeta,En camino,Producto defectuoso,97
12,Worry,East Janicemouth,Leader,300,11,2023-03-22T00:00:00Z,Lisa Stafford,wwilson@example.org,641-800-6599x2234,USS Fuller FPO AA 30334,tarjeta,En camino,Sin comentario,83
22,Staff,New Reginaldmouth,Whom,2500,18,2022-12-04T00:00:00Z,Roger!stephens,eric87@example.org,6864990991,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,En camino,Sin comentario,27
6,Up,Milesburgh,North,1600,29,2023-08-27T00:00:00Z,Samantha Hodges,estesjon@example.org,001594337542187814,"7474 Sean Pine Frazierchester, OK 57469",tarjeta,Entregado,Sin comentario,97
15,Education,East Leah,Set,900,21,2023-07-08T00:00:00Z,Susan Harvey,hornebeth@example.com,339100428204920,"30768 Louis Mill Lake Carmen, LA 47934",tarjeta,En camino,Sin comentario,27
14,Democratic,West Charles,Popular,2000,2,2023-06-21T00:00:00Z,Roger Stephens,matthew29@example.com,475336070987999,"7474 Sean Pine Frazierchester, OK 57469",tarjeta,Entregado,Sin comentario,25
7,Staff,East Jonathan,Job,1500,11,2022-12-04T00:00:00Z,.Charles Williams,matthew29@example.com,0010962368217,"93043 Kiara Crossroad Port Amandachester, WI 16919",tarjeta,En camino,Sin comentario,87
11,Base,New Reginaldmouth,Popular,2300,22,2023-06-06T00:00:00Z,Mark Mays,ydavid@example.com,001594337542187814,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,Entregado,Sin comentario,78
27,If,Jodichester,Job,2100,26,2023-06-06T00:00:00Z,Samantha Hodges,edward94@example.org,372.568.4886x317,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",tarjeta,Entregado,Sin comentario,98
18,Just,Courtneymouth,Step,1500,23,2023-11-20T00:00:00Z,Brittney Guerra,paul02@example.com,4914742586,USS Fuller FPO AA 30334,tarjeta,En camino,Producto defectuoso,72
4,Factor,North Brittney,North,1500,22,2023-09-12T00:00:00Z,Samantha Parker,eric24@example.com,372.568.4886x317,"50604 Anthony Villages New William, ME 95446",tarjeta,Entregado,Producto defectuoso,97
5,Focus,Lindaport,At,800,16,2023-01-18T00:00:00Z,crystal Chambers,brianboyd@example.org,525-194-7529,"493 Cameron Ramp Veronicatown, MI 81010",tarjeta,En camino,Producto defectuoso,14
8,Education,Kevinton,Member,2100,9,2023-09-13T00:00:00Z,David Scott,powersjimmy@example.org,621875126511205,"PSC 2182, Box 8243 APO AP 79039",efectivo,En camino,Producto defectuoso,43
22,Staff,North Jasmine,Pay,2800,18,2023-09-23T00:00:00Z,Kelsey Lopez,edward94@example.org,001594337542187814,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",efectivo,Entregado,Producto defectuoso,78
11,Door,West Charles,North,1100,22,2023-07-10T00:00:00Z,Juan Manning,schmidtkrystal@example.org,641-800-6599x2234,"PSC 2182, Box 8243 APO AP 79039",efectivo,Entregado,Producto defectuoso,25
23,Education,Kevinton,Increase,200,9,2023-08-27T00:00:00Z,Samantha Hodges,brianboyd@example.org,372.568.4886x317,"7474 Sean Pine Frazierchester, OK 57469",efectivo,Entregado,Producto defectuoso,21
10,Strategy,New Reginaldmouth,Spring,300,30,2023-08-17T00:00:00Z,Samantha Hodges,edward94@example.org,5098210932647,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",efectivo,Entregado,Sin comentario,36
22,Create,Port Kelly,Industry,300,14,2023-09-12T00:00:00Z,Dr. Monica Woods,edward94@example.org,0013389556200,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",efectivo,Entregado,Sin comentario,54
5,Base,West Charles,Group,900,14,2023-06-28T00:00:00Z,Carla Orozco,hornebeth@example.com,3143257035737,"0262 Cheryl Union Sampsonfurt, ME 63401",efectivo,En camino,Sin comentario,36
12,Professor,Courtneymouth,Movement,1100,14,2023-01-04T00:00:00Z,Jennifer Holmes,steelejulian@example.net,0010962368217,"0827 Jill Cape Suite 299 Angieport, DC 15542",efectivo,En camino,Sin comentario,12
1,If,Port Kelly,Forward,1100,16,2022-12-04T00:00:00Z,Cynthia Hayes,eric24@example.com,6022388997526,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,En camino,Producto defectuoso,49
19,Food,East Janicemouth,North,2100,25,2023-07-10T00:00:00Z,.Sean Mitchell,wliu@example.net,6304696433,"403 Ashley Mountains Apt. 918 Nicholasberg, MI 72538",tarjeta,Entregado,Producto defectuoso,24
7,Dog,East Brittany,Budget,2500,13,2023-06-17T00:00:00Z,Alan Bird,brianboyd@example.org,001594337542187814,"03346 Tony Spring Apt. 633 Ericberg, AK 73272",tarjeta,En camino,Sin comentario,39
23,Administration,East Jonathan,Pay,2100,11,2023-09-01T00:00:00Z,Angela?taylor,vhill@example.org,0010962368217,"507 Johnson Port Banksshire, AK 72140",tarjeta,En camino,Sin comentario,25
3,Under,Valerietown,Pay,700,30,2023-10-15T00:00:00Z,Dr. Monica Woods,eric87@example.org,2661673098,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",tarjeta,En camino,Producto defectuoso,12
15,Firm,New Reginaldmouth,North,800,15,2023-07-15T00:00:00Z,Carla Orozco,eric87@example.org,6304696433,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",tarjeta,En camino,Producto defectuoso,39
6,Trade,Jessechester,Leg,2400,21,2023-01-14T00:00:00Z,Adam Mueller,vhill@example.org,6022388997526,"664 Berger RapidSouth Suzanne, WV 68526",efectivo,Entregado,Sin comentario,21
13,Kitchen,Lake Juan,Despite,700,13,2023-07-08T00:00:00Z,Benjamin Chan,wwilson@example.org,8708608083698,"30768 Louis Mill Lake Carmen, LA 47934",efectivo,Entregado,Sin comentario,36
23,Strategy,East Brittany,Pay,2600,14,2023-11-20T00:00:00Z,Michelle Mitchell,sandersbeth@example.org,6304696433,"03346 Tony Spring Apt. 633 Ericberg, AK 73272",tarjeta,Entregado,Sin comentario,18
4,Create,Lake Juan,Finish,2100,15,2023-08-27T00:00:00Z,Andrew Mitchell,powersjimmy@example.org,8572628794,"233 Peterson Canyon Tranmouth, ND 40770",efectivo,En camino,Producto defectuoso,27
1,Involve,Briannaport,Finish,900,10,2023-07-15T00:00:00Z,.Karl Cardenas,wliu@example.net,001419330387387349,"7474 Sean Pine Frazierchester, OK 57469",efectivo,Entregado,Producto defectuoso,55
28,If,South Thomas,Popular,1100,17,2023-05-06T00:00:00Z,Mark Mays,sandersbeth@example.org,641-800-6599x2234,"30768 Louis Mill Lake Carmen, LA 47934",tarjeta,Entregado,Producto defectuoso,18
5,Food,Larrychester,At,700,11,2023-09-12T00:00:00Z,David!norton,wliu@example.net,372.568.4886x317,"848 Jimmy Hill Apt. 415 Stanleyside, MA 75473",tarjeta,Entregado,Producto defectuoso,30
20,Door,East Janicemouth,Job,300,11,2023-06-06T00:00:00Z,Larry Welch,david09@example.com,372.568.4886x317,"2644 Gonzalez Mills Apt. 856 Port Frank, IN 25816",tarjeta,Entregado,Sin comentario,19
28,Six,Lake Juan,Whom,700,23,2023-01-14T00:00:00Z,Alan*bird,vhill@example.org,0013389556200,"PSC 2182, Box 8243 APO AP 79039",tarjeta,Entregado,Producto defectuoso,55
10,Song,West Charles,Whom,700,26,2022-12-04T00:00:00Z,Samantha Parker,edward94@example.org,8572628794,"493 Cameron Ramp Veronicatown, MI 81010",efectivo,Entregado,Sin comentario,21
